step,reactor_concentration,target_concentration,reactor_temperature,coolant_action_normalized,coolant_temperature,reward,base_reward,rml_reward,tracking_error,temperature_violation,cumulative_temperature_violation,heating_rate,in_soak_band,overshoot,heating_rate_exceeded,past_deadline,deadline_expired,stable_step,warning_events,critical_failure,max_stable_steps,first_stable_step,monitor_phase,rml_monitor_state_normalized,rml_monitor_state_unencoded_normalized,monitor_soak_steps,monitor_violation_steps,monitor_success,monitor_failed,terminated,truncated
0,0.8,0.5,331.0,nan,302.5,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,False,False,False,False,False,False,0,False,0,-1,preheat,<initial>,Preheat,0,0,False,False,False,False
1,0.8001640767807501,0.5,331.80136905173936,0.7569302320480347,310.5,-1.3006597155402968,-0.44511150261428467,-0.8555482129260121,0.3001640767807501,0.0,0.0,0.801369051739357,False,False,False,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
2,0.7993405014396945,0.5,333.4604159530599,1.0,318.5,-0.9746190098490184,-0.46621401142394864,-0.5084049984250697,0.2993405014396945,0.0,0.0,1.6590469013205507,False,False,True,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
3,0.7966710198781979,0.5,336.03496894446164,0.8652677536010742,326.5,-0.5718252123648104,-0.4982609757721744,-0.07356423659263611,0.2966710198781979,0.0,0.0,2.574552991401731,False,False,True,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
4,0.7913627938375265,0.5,338.78569796327014,0.5286772847175598,326.433864235878,-0.2631076713941412,-0.4536457631578771,0.19053809176373587,0.2913627938375265,0.0,0.0,2.7507290188084994,False,False,True,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
5,0.7833318599167548,0.5,340.957944204433,0.21089674532413483,318.433864235878,-0.12556114037989136,-0.3452582370252391,0.21969709664534776,0.2833318599167548,0.0,0.0,2.1722462411628385,False,False,True,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
6,0.7731661113249976,0.5,342.54363916360023,0.02038208581507206,310.433864235878,-0.07028669990720943,-0.27020157278704204,0.19991487287983262,0.2731661113249976,0.0,0.0,1.585694959167256,False,False,True,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
7,0.761762395283769,0.5,343.4686233066433,-0.10083036124706268,302.433864235878,-0.12130068677374808,-0.2300365870659725,0.10873590029222441,0.261762395283769,0.0,0.0,0.9249841430430479,False,False,False,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
8,0.7503414165501314,0.5,343.596255396876,-0.13832548260688782,294.433864235878,-0.3078147964825874,-0.22742325079085307,-0.08039154569173435,0.2503414165501314,0.0,0.0,0.12763209023273703,False,False,False,False,False,False,0,False,0,-1,preheat,preheat,preheat,0,0,False,False,False,False
9,0.7394609232301317,0.5,343.8969162677039,-0.07269249856472015,296.365375071764,6.461081182726701,-0.21391881727329848,6.675,0.23946092323013168,0.0,0.0,0.3006608708278691,True,False,False,False,False,False,0,False,0,-1,soak,soak_1,soak,1,0,False,False,False,False
10,0.7281680019410767,0.5,345.1213460710467,0.09594861418008804,304.365375071764,1.558924890191726,-0.19107510980827394,1.75,0.22816800194107667,0.0,0.0,1.2244298033427867,True,False,True,False,False,False,0,False,0,-1,soak,soak_2,soak,2,0,False,False,False,False
11,0.7162273152040317,0.5,345.6299242386137,-0.3205864131450653,296.365375071764,1.6486931063033987,-0.17630689369660152,1.8250000000000002,0.2162273152040317,0.0,0.0,0.5085781675670091,True,False,False,False,False,False,0,False,0,-1,soak,soak_3,soak,3,0,False,False,False,False
12,0.705129696789325,0.5,345.234458369812,-0.2968001067638397,288.365375071764,1.6988791277083712,-0.20112087229162884,1.9000000000000001,0.20512969678932502,0.0,0.0,-0.39546586880169343,True,False,False,False,False,False,0,False,0,-1,soak,soak_4,soak,4,0,False,False,False,False
13,0.6950181153599415,0.5,345.5861611031344,0.13982084393501282,296.365375071764,1.8086412591932541,-0.16635874080674606,1.975,0.1950181153599415,0.0,0.0,0.35170273332238366,True,False,False,False,False,False,0,False,0,-1,soak,soak_5,soak,5,0,False,False,False,False
14,0.6855868982328599,0.5,345.3845498107058,-0.16830511391162872,291.58474430441856,1.8738114923597533,-0.17618850764024643,2.05,0.1855868982328599,0.0,0.0,-0.20161129242859488,True,False,False,False,False,False,0,False,0,-1,soak,soak_6,soak,6,0,False,False,False,False
15,0.6769864079407231,0.5,345.54326391997574,-0.0850648432970047,295.74675783514977,1.9660377410467027,-0.15896225895329735,2.125,0.17698640794072307,0.0,0.0,0.15871410926996532,True,False,False,False,False,False,0,False,0,-1,soak,soak_7,soak,7,0,False,False,False,False
16,0.6696015317593469,0.5,344.74167467609163,-0.32073062658309937,287.74675783514977,2.0062959655516086,-0.19370403444839168,2.2,0.1696015317593469,0.0,0.0,-0.8015892438841092,True,False,False,False,False,False,0,False,0,-1,soak,soak_8,soak,8,0,False,False,False,False
17,0.6635910171870899,0.5,344.63197218335625,0.03771836310625076,295.74675783514977,2.1090660603742273,-0.16593393962577313,2.2750000000000004,0.1635910171870899,0.0,0.0,-0.10970249273538002,True,False,False,False,False,False,0,False,0,-1,soak,soak_9,soak,9,0,False,False,False,False
18,0.6577934985804216,0.5,345.1040001953612,0.027935242280364037,301.3967621140182,2.197273064759576,-0.152726935240424,2.35,0.15779349858042158,0.0,0.0,0.47202801200495514,True,False,False,False,False,False,0,False,0,-1,soak,soak_10,soak,10,0,False,False,False,False
19,0.6509064163974067,0.5,346.56068724249656,0.2565026581287384,309.3967621140182,2.0400255100780798,-0.14470272720674454,2.1847282372848245,0.15090641639740665,0.0,0.0,1.4566870471353468,True,False,True,False,False,False,0,False,0,-1,approach,approach,approach,0,0,False,False,False,False
20,0.6420572504159009,0.5,347.9915957529092,0.1314622014760971,306.57311007380486,0.7243509277327768,-0.10979584412278376,0.8341467718555605,0.1420572504159009,0.0,0.0,1.4309085104126211,False,False,True,False,False,False,0,False,0,-1,approach,approach,approach,0,0,False,False,False,False
21,0.6317829774791216,0.5,348.8697584971309,-0.015887267887592316,299.2056366056204,0.46494217900544516,-0.08297131392306374,0.5479134929285089,0.1317829774791216,0.0,0.0,0.8781627442216973,False,False,False,False,False,False,0,False,0,-1,approach,approach,approach,0,0,False,False,False,False
22,0.620763328969411,0.5,349.6804730626721,-0.054880350828170776,297.25598245859146,0.573843004660758,-0.06668049499813566,0.6405234996588937,0.120763328969411,0.0,0.0,0.8107145655412182,False,False,False,False,False,False,0,False,0,-1,approach,approach,approach,0,0,False,False,False,False
23,0.6093928534952593,0.5,350.20290095989816,-0.12652209401130676,293.67389529943466,0.021068290676885842,-0.06574386128260501,0.08681215195949085,0.10939285349525929,0.0,0.0,0.5224278972260663,False,False,False,False,False,False,0,False,0,-1,approach,approach,approach,0,0,False,False,False,False
24,0.5980967576748619,0.5,350.64460664392817,-0.14734284579753876,292.63285771012306,-0.05991047343857897,-0.06957243560021217,0.009661962161633203,0.09809675767486192,0.0,0.0,0.441705684030012,False,False,False,False,False,False,0,False,0,-1,approach,approach,approach,0,0,False,False,False,False
25,0.5871320078516051,0.5,350.919679037702,-0.17750759422779083,291.12462028861046,0.012087634292926391,-0.07311566249560153,0.08520329678852792,0.08713200785160513,0.0,0.0,0.27507239377382575,False,False,False,False,False,False,0,False,0,-1,approach,approach,approach,0,0,False,False,False,False
26,0.5767356976437653,0.5,351.1223224000213,-0.18288227915763855,290.8558860421181,18.178074351162852,0.07807435116285177,18.1,0.07673569764376531,0.0,0.0,0.20264336231929292,False,False,False,False,False,True,0,False,1,26,regulate,regulate,regulate,0,0,False,False,False,False
27,0.5675495023605386,0.5,350.70899988105924,-0.2745678126811981,286.2716093659401,3.1678965087235733,0.06789650872357332,3.1,0.06754950236053858,0.0,0.0,-0.4133225189620475,False,False,False,False,False,True,0,False,2,26,regulate,regulate,regulate,0,0,False,False,False,False
28,0.5597142245258223,0.5,350.70589948261414,-0.16559118032455444,291.7204409837723,3.1958441759972374,0.09584417599723714,3.1,0.05971422452582231,0.0,0.0,-0.0031003984450990174,False,False,False,False,False,True,0,False,3,26,regulate,regulate,regulate,0,0,False,False,False,False
29,0.5529091751669963,0.5,350.4273384149826,-0.19571107625961304,290.21444618701935,3.1979839235064147,0.09798392350641458,3.1,0.052909175166996336,0.0,0.0,-0.27856106763152866,False,False,False,False,False,True,0,False,4,26,regulate,regulate,regulate,0,0,False,False,False,False
30,0.5471157675680139,0.5,350.35579616991225,-0.133600115776062,293.3199942111969,3.212180678199621,0.11218067819962065,3.1,0.047115767568013944,0.0,0.0,-0.07154224507036133,False,False,False,False,False,True,0,False,5,26,regulate,regulate,regulate,0,0,False,False,False,False
31,0.5421246484048405,0.5,350.16642654803786,-0.13863222301006317,293.06838884949684,3.216831830948656,0.11683183094865586,3.1,0.04212464840484054,0.0,0.0,-0.18936962187439121,False,False,False,False,False,True,0,False,6,26,regulate,regulate,regulate,0,0,False,False,False,False
32,0.5378715318093781,0.5,350.0850322225474,-0.10180200636386871,294.90989968180656,3.2246069265072457,0.12460692650724542,3.1,0.03787153180937808,0.0,0.0,-0.08139432549046433,False,False,False,False,False,True,0,False,7,26,regulate,regulate,regulate,0,0,False,False,False,False
