step,reactor_concentration,target_concentration,reactor_temperature,coolant_action_normalized,coolant_temperature,reward,base_reward,rml_reward,tracking_error,temperature_violation,cumulative_temperature_violation,heating_rate,in_soak_band,overshoot,heating_rate_exceeded,past_deadline,deadline_expired,stable_step,warning_events,critical_failure,max_stable_steps,first_stable_step,monitor_phase,rml_monitor_state_normalized,rml_monitor_state_unencoded_normalized,monitor_soak_steps,monitor_violation_steps,monitor_success,monitor_failed,terminated,truncated
0,0.8,0.5,331.0,nan,302.5,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
1,0.8001640767807501,0.5,331.80136905173936,0.6981116533279419,310.5,-0.44511150261428467,-0.44511150261428467,0.0,0.3001640767807501,0.0,0.0,0.801369051739357,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
2,0.7993405014396945,0.5,333.4604159530599,0.6556234955787659,318.5,-0.46621401142394864,-0.46621401142394864,0.0,0.2993405014396945,0.0,0.0,1.6590469013205507,False,False,True,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
3,0.7966710198781979,0.5,336.03496894446164,0.559179961681366,326.5,-0.4982609757721744,-0.4982609757721744,0.0,0.2966710198781979,0.0,0.0,2.574552991401731,False,False,True,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
4,0.7917577676449906,0.5,338.0964169424586,0.40313437581062317,320.15671879053116,-0.4056912921657271,-0.4056912921657271,0.0,0.2917577676449906,0.0,0.0,2.061447997996936,False,False,True,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
5,0.7850155558802256,0.5,339.6398032273196,0.272673636674881,313.63368183374405,-0.33508618559907144,-0.33508618559907144,0.0,0.28501555588022565,0.0,0.0,1.5433862848610147,False,False,True,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
6,0.7769317119645458,0.5,340.82727684579817,0.1766107678413391,308.83053839206696,-0.2916523849540541,-0.2916523849540541,0.0,0.2769317119645458,0.0,0.0,1.1874736184785775,False,False,True,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
7,0.7679065755443608,0.5,341.7716966767547,0.1069832518696785,305.3491625934839,-0.2631005457111656,-0.2631005457111656,0.0,0.2679065755443608,0.0,0.0,0.9444198309565195,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
8,0.758250616235287,0.5,342.54700699084344,0.05622802674770355,302.8114013373852,-0.2425009987509621,-0.2425009987509621,0.0,0.258250616235287,0.0,0.0,0.7753103140887561,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
9,0.7481997645827018,0.5,343.20143983174654,0.018803101032972336,300.9401550516486,-0.22625506311938084,-0.22625506311938084,0.0,0.24819976458270177,0.0,0.0,0.6544328409030982,False,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
10,0.7379325478879913,0.5,343.7667480436663,-0.009137989021837711,299.5431005489081,-0.2125068047106824,-0.2125068047106824,0.0,0.23793254788799134,0.0,0.0,0.5653082119197848,True,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
11,0.7275845526337602,0.5,344.26415391011125,-0.03022599034011364,298.4887004829943,-0.2002867729112317,-0.2002867729112317,0.0,0.2275845526337602,0.0,0.0,0.4974058664449217,True,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
12,0.7172594984202393,0.5,344.7080891134033,-0.046265169978141785,297.6867415010929,-0.1890786454856237,-0.1890786454856237,0.0,0.21725949842023928,0.0,0.0,0.4439352032920283,True,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
13,0.7070373844951457,0.5,345.10854959915355,-0.058505840599536896,297.07470797002316,-0.17860191495239885,-0.17860191495239885,0.0,0.20703738449514575,0.0,0.0,0.4004604857502727,True,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
14,0.6969803853381287,0.5,345.4725942695661,-0.06782695651054382,296.6086521744728,-0.16870152664031418,-0.16870152664031418,0.0,0.19698038533812867,0.0,0.0,0.36404467041256794,True,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
15,0.6871370949997792,0.5,345.8053148946783,-0.07485651224851608,296.2571743875742,-0.15929057279272113,-0.15929057279272113,0.0,0.18713709499977915,0.0,0.0,0.3327206251121879,True,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
16,0.6775455824549496,0.5,346.1104750077035,-0.08005121350288391,295.9974393248558,-0.15031976450356466,-0.15031976450356466,0.0,0.17754558245494956,0.0,0.0,0.3051601130251811,True,False,False,False,False,False,0,False,0,-1,none,,,0,0,False,False,False,False
